Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
10/19/2010;0.25;0.375;0.25;0.125;0
10/20/2010;0.25;0.375;0.25;0.125;0
10/21/2010;0.25;0.375;0.25;0.125;0
10/22/2010;0.25;0.375;0.25;0.125;0
10/25/2010;0.25;0.375;0.25;0.125;0
10/26/2010;0.25;0.375;0.25;0.125;0
10/27/2010;0.25;0.375;0.25;0.125;0
10/28/2010;0.25;0.375;0.25;0.125;0
10/29/2010;0.25;0.375;0.25;0.125;0
11/1/2010;0.25;0.375;0.25;0.125;0
11/3/2010;0.25;0.375;0.25;0.125;0
11/4/2010;0.25;0.375;0.25;0.125;0
11/5/2010;0.25;0.375;0.25;0.125;0
11/8/2010;0.25;0.375;0.25;0.125;0
11/9/2010;0.25;0.375;0.25;0.125;0
11/10/2010;0.25;0.375;0.25;0.125;0
11/11/2010;0.25;0.375;0.25;0.125;0
11/12/2010;0.25;0.375;0.25;0.125;0
11/16/2010;0.25;0.375;0.25;0.125;0
11/17/2010;0.25;0.375;0.25;0.125;0
11/18/2010;0.25;0.375;0.25;0.125;0
11/19/2010;0.25;0.375;0.25;0.125;0
11/22/2010;0.25;0.375;0.25;0.125;0
11/23/2010;0.25;0.375;0.25;0.125;0
11/24/2010;0.25;0.375;0.25;0.125;0
11/25/2010;0.25;0.375;0.25;0.125;0
11/26/2010;0.25;0.375;0.25;0.125;0
11/29/2010;0.25;0.375;0.25;0.125;0
11/30/2010;0.25;0.375;0.25;0.125;0
12/1/2010;0.25;0.375;0.25;0.125;0
12/2/2010;0.25;0.375;0.25;0.125;0
12/3/2010;0.25;0.375;0.25;0.125;0
12/6/2010;0.25;0.375;0.25;0.125;0
12/7/2010;0.25;0.375;0.25;0.125;0
12/8/2010;0.25;0.375;0.25;0.125;0
12/9/2010;0.25;0.375;0.25;0.125;0
12/10/2010;0.25;0.375;0.25;0.125;0
12/13/2010;0.25;0.375;0.25;0.125;0
12/14/2010;0.25;0.375;0.25;0.125;0
12/15/2010;0.25;0.375;0.25;0.125;0
12/16/2010;0.25;0.375;0.25;0.125;0
12/17/2010;0.25;0.375;0.25;0.125;0
12/20/2010;0.25;0.375;0.25;0.125;0
12/21/2010;0.25;0.375;0.25;0.125;0
12/22/2010;0.25;0.375;0.25;0.125;0
12/23/2010;0.25;0.375;0.25;0.125;0
12/27/2010;0.25;0.375;0.25;0.125;0
12/28/2010;0.25;0.375;0.25;0.125;0
12/29/2010;0.25;0.375;0.25;0.125;0
12/30/2010;0.25;0.375;0.25;0.125;0
1/3/2011;0.25;0.375;0.25;0.125;0
1/4/2011;0.25;0.375;0.25;0.125;0
1/5/2011;0.25;0.375;0.25;0.125;0
1/6/2011;0.25;0.375;0.25;0.125;0
1/7/2011;0.25;0.375;0.25;0.125;0
1/10/2011;0.25;0.375;0.25;0.125;0
1/11/2011;0.25;0.375;0.25;0.125;0
1/12/2011;0.25;0.375;0.25;0.125;0
1/13/2011;0.25;0.375;0.25;0.125;0
1/14/2011;0.25;0.375;0.25;0.125;0
1/17/2011;0.25;0.375;0.25;0.125;0
1/18/2011;0.25;0.375;0.25;0.125;0
1/19/2011;0.25;0.375;0.25;0.125;0
1/20/2011;0.25;0.375;0.25;0.125;0
1/21/2011;0.25;0.375;0.25;0.125;0
1/24/2011;0.25;0.375;0.25;0.125;0
1/26/2011;0.25;0.375;0.25;0.125;0
1/27/2011;0.25;0.375;0.25;0.125;0
1/28/2011;0.25;0.375;0.25;0.125;0
1/31/2011;0.25;0.375;0.25;0.125;0
2/1/2011;0.25;0.375;0.25;0.125;0
2/2/2011;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
2/3/2011;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
2/4/2011;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
2/7/2011;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
2/8/2011;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
2/9/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/10/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/11/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/14/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/15/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/16/2011;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;-0.166666666666667
2/17/2011;0.285714285714286;0.428571428571429;0.285714285714286;0.142857142857143;-0.142857142857143
2/18/2011;0.285714285714286;0.428571428571429;0.285714285714286;0.142857142857143;-0.142857142857143
2/21/2011;0.285714285714286;0.428571428571429;0.285714285714286;0.142857142857143;-0.142857142857143
2/22/2011;0.285714285714286;0.428571428571429;0.285714285714286;0.142857142857143;-0.142857142857143
2/23/2011;0.25;0.375;0.25;0.25;-0.125
2/24/2011;0.25;0.375;0.25;0.25;-0.125
