Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
5/24/2011;-3.78;4.31;-1.13;-1.58;-0.92
5/25/2011;-4.83;6.22;-1.18;-1.37;-1.11
5/26/2011;-1.62;-1.51;-1.72;-0.11;0.55
5/27/2011;-2.09;-1.51;-1.12;0.26;0.93
5/30/2011;-2.51;-2.25;-1.94;-0.61;0.57
5/31/2011;-1.69;-1.50;-2.15;-0.56;0.69
6/1/2011;-2.83;-0.99;-2.96;-0.94;-0.12
6/2/2011;-1.87;0.18;-3.16;-1.15;0.40
6/3/2011;-1.62;0.28;-0.91;-1.85;-0.09
6/6/2011;-3.93;-0.35;-1.60;-4.29;-1.01
6/7/2011;-2.42;-0.73;-1.29;-5.16;-0.99
6/8/2011;-2.93;-2.10;0.20;-4.29;-1.01
6/9/2011;-3.69;-0.08;1.15;-2.13;-0.15
6/10/2011;-4.26;-0.08;-0.54;-2.05;-1.05
6/13/2011;-4.55;-0.95;-1.85;-3.69;-2.55
6/14/2011;-3.22;-0.49;0.14;-2.53;-2.30
6/15/2011;-2.26;-0.76;-0.92;-3.81;-2.85
6/16/2011;-2.88;-2.70;-1.43;-3.85;-3.98
6/17/2011;-3.98;-4.64;-2.15;-4.06;-4.14
6/20/2011;-3.38;-4.50;0.01;-4.67;-2.76
6/21/2011;-4.15;-4.37;1.09;-4.06;-1.95
6/22/2011;-3.37;-4.77;0.66;-3.97;-1.50
6/24/2011;-3.94;-3.96;0.73;-5.65;-0.93
6/27/2011;-3.91;-4.89;1.74;-4.73;-1.06
6/28/2011;-0.94;-4.89;2.07;-3.13;-0.02
6/29/2011;-0.03;-3.97;3.49;-3.43;-0.22
6/30/2011;0.16;-2.14;3.25;-1.97;0.30
7/1/2011;0.28;-1.45;5.22;-1.85;4.76
7/4/2011;1.15;-1.38;4.93;-1.64;5.66
7/5/2011;1.05;-2.13;5.89;-2.64;4.13
7/6/2011;-0.45;-2.21;5.51;-2.85;4.09
7/7/2011;-2.55;-2.20;4.26;-2.34;4.52
7/8/2011;-4.66;-0.53;2.71;-3.15;3.63
7/11/2011;-8.35;-1.21;1.13;-4.39;2.57
7/12/2011;-2.60;-1.17;-0.46;-4.52;2.81
7/13/2011;-1.96;1.48;-0.08;-3.35;4.26
7/14/2011;-4.92;1.31;0.13;-5.23;3.01
7/15/2011;-5.23;0.60;-2.10;-5.05;3.18
7/18/2011;-6.15;1.06;-1.04;-6.06;3.55
7/19/2011;2.38;1.89;0.19;-0.48;3.77
7/20/2011;3.10;2.46;-0.91;-1.68;3.25
7/21/2011;4.46;3.52;-1.44;1.09;3.47
7/22/2011;4.49;2.23;-0.99;0.96;3.79
7/25/2011;2.42;3.29;-3.23;3.27;3.99
7/26/2011;0.65;6.30;-4.69;3.95;3.79
7/27/2011;-1.32;-2.91;-6.70;3.66;3.12
7/28/2011;-1.03;-0.11;1.97;3.28;4.04
7/29/2011;0.23;1.78;-0.40;3.28;2.61
8/1/2011;0.14;2.36;-0.62;3.28;2.55
8/2/2011;-5.66;2.71;0.50;1.87;0.83
8/3/2011;-7.78;3.40;1.04;-1.09;-1.82
8/4/2011;-3.11;1.13;-2.73;-8.45;-7.21
8/5/2011;-2.22;1.51;0.74;-2.27;-2.49
8/8/2011;-11.94;-3.08;-3.91;-9.86;-11.67
8/9/2011;6.86;-3.08;0.39;2.68;5.09
8/10/2011;-2.33;-4.30;0.59;5.71;5.35
8/11/2011;1.01;-4.55;5.48;8.14;9.64
8/12/2011;2.87;-5.04;7.45;0.45;-0.14
8/15/2011;5.07;-5.91;2.24;3.84;1.62
8/16/2011;3.69;-7.64;4.52;2.75;1.37
8/17/2011;6.69;0.22;4.61;3.28;2.75
8/18/2011;-4.05;-0.91;4.23;0.55;-2.21
8/19/2011;-7.77;-0.20;5.39;-2.41;-4.80
8/22/2011;-1.32;-0.21;4.43;-2.66;-4.26
8/23/2011;-0.55;-0.42;8.13;-0.07;-1.36
8/24/2011;-1.12;-0.58;-0.37;0.28;-1.12
8/25/2011;-0.21;0.35;-0.76;-1.55;-2.13
8/26/2011;2.27;2.39;-2.61;-1.35;-0.25
8/29/2011;3.74;3.53;0.01;1.62;1.67
8/30/2011;5.73;3.40;1.17;1.91;2.35
8/31/2011;8.03;4.39;3.67;3.13;3.87
9/1/2011;6.81;7.08;3.09;4.28;4.71
9/2/2011;-2.63;0.12;3.04;1.10;3.15
9/5/2011;-6.60;0.28;1.77;-0.58;1.49
9/6/2011;1.77;-0.39;1.83;1.62;3.96
9/8/2011;3.00;2.20;2.10;2.55;5.80
9/9/2011;0.07;1.97;0.58;0.08;4.64
9/12/2011;-1.70;1.69;1.26;1.03;5.50
9/13/2011;-2.66;3.10;1.88;0.93;6.18
9/14/2011;-1.73;4.02;3.35;1.91;1.42
9/15/2011;-0.07;5.25;3.46;2.06;2.77
9/16/2011;1.84;6.29;3.82;2.55;3.43
9/19/2011;0.99;0.11;5.84;3.27;4.78
9/20/2011;0.72;0.78;6.67;2.31;5.74
9/21/2011;0.41;0.71;-0.02;2.31;4.49
9/22/2011;-3.51;-0.79;-1.83;-3.03;0.18
9/23/2011;-4.66;-3.45;-2.12;-4.78;-1.21
9/26/2011;-2.47;-2.64;-2.03;-1.54;-2.43
9/27/2011;1.67;-2.97;-2.83;-2.70;-1.64
9/28/2011;1.36;-2.97;-1.94;-3.73;-2.23
9/29/2011;2.04;-3.61;-1.31;-3.47;-3.41
9/30/2011;1.19;-4.03;-0.41;-5.01;-5.58
10/3/2011;-0.08;-4.54;-1.58;-8.62;-8.08
10/4/2011;-1.30;-5.40;-0.86;0.76;-1.05
10/5/2011;0.40;-3.78;0.40;-1.07;1.20
10/6/2011;2.31;-1.39;-0.50;2.44;2.75
10/7/2011;1.08;-1.08;-0.39;-0.47;0.23
10/10/2011;5.01;2.08;0.76;2.85;3.47
10/11/2011;6.91;2.08;0.16;4.18;5.19
10/13/2011;1.14;1.13;0.76;5.38;6.98
10/14/2011;2.26;1.87;0.76;6.67;0.56
10/17/2011;1.95;2.11;1.55;-1.73;-2.98
10/18/2011;2.26;3.32;3.22;-0.95;-2.82
10/19/2011;4.17;3.35;4.25;-2.09;-5.69
10/20/2011;2.93;3.32;4.24;-4.21;-6.96
10/21/2011;4.86;3.43;4.47;-1.83;1.78
10/24/2011;7.13;4.43;4.17;0.82;7.72
10/25/2011;-2.76;5.43;4.42;1.58;-0.95
10/26/2011;-1.02;5.85;3.84;2.33;1.54
10/27/2011;2.05;4.73;1.82;6.62;3.90
10/28/2011;0.59;4.99;1.88;3.05;3.88
10/31/2011;-0.53;4.34;2.12;1.85;1.76
11/1/2011;-2.32;5.35;2.93;0.96;0.78
11/3/2011;-1.17;7.29;2.93;4.70;4.00
11/4/2011;-0.80;0.74;2.96;5.51;5.32
11/7/2011;-0.86;0.32;2.35;8.14;6.24
11/8/2011;-1.02;0.85;1.69;-1.19;-0.45
11/9/2011;-3.53;0.72;3.09;-5.43;-2.02
11/10/2011;-4.58;1.38;2.39;-5.20;-2.45
11/11/2011;-3.17;2.22;3.39;-3.10;-1.13
11/14/2011;-2.92;3.38;3.47;-2.37;-1.56
11/16/2011;-2.27;4.20;4.65;-1.50;-0.82
11/17/2011;-6.03;0.63;3.29;-4.17;-3.02
11/18/2011;-1.52;-1.53;2.70;-3.10;-3.26
11/21/2011;-2.96;-2.49;2.24;-2.87;-3.50
11/22/2011;-3.23;-2.68;2.24;-3.42;-4.16
11/23/2011;-4.47;-2.09;2.94;-3.93;-6.68
11/24/2011;-4.07;-0.82;4.16;-3.47;0.00
11/25/2011;-4.64;-0.57;4.08;-6.51;-2.13
11/28/2011;-1.82;-0.35;5.28;2.33;-0.85
11/29/2011;-2.62;0.03;6.47;1.91;-2.50
11/30/2011;3.37;2.89;0.90;4.90;-2.03
12/1/2011;7.33;3.73;3.74;7.03;-1.34
12/2/2011;0.36;0.52;3.23;0.05;0.21
12/5/2011;1.95;-0.21;3.07;2.00;1.69
12/6/2011;2.40;0.54;4.81;3.52;1.76
12/7/2011;2.25;0.54;5.89;3.39;-1.86
12/8/2011;2.04;0.54;6.78;0.09;-3.30
12/9/2011;3.14;1.07;0.28;2.31;-1.69
12/12/2011;1.97;0.54;0.59;-0.30;-3.14
12/13/2011;1.82;0.54;2.16;-0.30;-3.12
12/14/2011;1.08;-0.30;1.68;-2.98;-4.57
12/15/2011;-0.41;0.04;3.08;-4.40;-5.76
12/16/2011;0.19;0.38;3.02;-5.37;-5.99
12/19/2011;-0.41;1.35;3.93;-6.22;-7.76
12/20/2011;2.01;1.84;4.74;4.64;3.64
12/21/2011;2.01;1.29;3.43;3.82;3.72
12/22/2011;3.79;2.67;3.05;4.87;5.11
12/23/2011;4.63;1.63;3.99;5.19;5.76
12/26/2011;4.08;1.63;3.25;4.97;5.11
12/27/2011;4.37;2.16;4.15;5.10;5.42
12/28/2011;2.09;2.36;4.00;1.63;2.82
12/29/2011;3.47;3.10;5.07;1.91;2.85
1/2/2012;3.62;3.41;5.51;3.03;5.71
1/3/2012;6.12;3.79;4.18;7.01;9.74
1/4/2012;0.11;4.13;0.76;0.71;0.79
1/5/2012;-0.63;2.70;-0.12;-0.44;-1.73
1/6/2012;0.12;2.07;0.09;-0.35;-2.49
1/9/2012;0.75;2.47;-0.48;1.00;-2.39
1/10/2012;2.06;3.00;-0.67;2.19;-2.36
1/11/2012;2.20;4.10;-0.12;2.23;-1.60
1/12/2012;2.43;3.85;0.12;2.97;-2.73
1/13/2012;1.78;4.55;0.12;2.84;-3.78
1/16/2012;2.46;5.50;1.21;5.45;-2.88
1/17/2012;3.04;6.80;2.23;6.08;1.22
1/18/2012;5.24;0.97;2.57;2.40;1.76
1/19/2012;5.81;2.78;2.60;1.74;1.56
1/20/2012;6.22;3.33;1.61;1.78;1.42
1/23/2012;-1.89;2.89;1.11;5.54;1.56
1/24/2012;-3.70;2.99;1.57;6.61;2.85
1/26/2012;-2.13;2.01;1.65;-1.89;2.01
1/27/2012;-2.65;2.20;-0.32;-2.89;2.23
1/30/2012;-4.34;3.58;-0.07;-3.30;2.98
1/31/2012;-5.41;4.06;0.16;-3.30;5.53
2/1/2012;-3.73;4.16;1.86;-1.75;7.54
2/2/2012;-3.73;7.72;1.73;-3.44;0.30
2/3/2012;-3.34;1.89;2.24;-3.11;0.64
2/6/2012;-2.72;0.06;1.32;-2.09;0.85
2/7/2012;-1.78;4.28;0.65;0.88;0.96
2/8/2012;0.42;3.77;-0.40;0.22;0.23
2/9/2012;-0.25;3.84;0.42;0.49;-0.38
2/10/2012;-2.01;2.06;0.34;-7.35;-2.11
2/13/2012;1.16;2.06;1.83;3.66;0.46
2/14/2012;-0.10;3.41;1.44;-1.06;-1.48
2/15/2012;-1.67;4.54;0.90;-1.53;-3.34
2/16/2012;-1.42;10.78;3.25;1.84;-2.68
2/17/2012;-0.95;-1.85;4.75;2.56;-3.55
2/22/2012;-1.85;-3.19;3.75;1.89;-3.58
2/23/2012;-2.49;-2.07;3.73;2.01;-1.62
2/24/2012;-2.77;0.05;6.34;4.36;-1.23
2/27/2012;-3.85;-0.46;0.80;3.83;-2.32
2/28/2012;-1.12;0.90;0.59;3.74;-1.38
2/29/2012;-0.53;2.56;1.61;3.66;-2.31
3/1/2012;1.76;4.28;1.85;6.01;-1.25
3/2/2012;3.11;5.13;3.02;1.69;-0.44
3/5/2012;1.65;6.70;3.26;-1.12;-3.35
3/6/2012;-1.72;-0.67;2.58;-4.53;-7.80
3/7/2012;0.37;-2.99;5.52;-3.57;-0.05
3/8/2012;3.57;-3.48;7.03;-3.11;-0.17
3/9/2012;5.15;-3.37;2.32;-4.69;-0.60
3/12/2012;3.57;-4.00;3.58;-5.87;-1.75
3/13/2012;4.72;-4.24;4.49;-1.60;3.62
3/14/2012;5.12;-4.39;4.06;0.04;2.44
3/15/2012;5.30;-5.31;2.78;-2.42;3.30
3/16/2012;5.64;-5.07;1.84;-1.88;4.38
3/19/2012;5.38;-4.43;3.69;-1.23;4.50
3/20/2012;3.88;-4.43;4.80;-1.70;3.67
3/21/2012;3.30;-6.10;5.13;-2.36;3.33
3/22/2012;0.51;0.35;6.80;-3.64;1.26
3/23/2012;-0.45;0.09;0.36;-4.06;1.03
3/26/2012;1.32;2.34;4.02;-1.91;2.24
3/27/2012;1.40;3.29;2.77;-3.61;3.10
3/28/2012;-1.22;3.75;-1.60;-5.33;1.43
3/29/2012;-2.25;3.46;-0.92;-5.63;2.26
3/30/2012;-4.22;4.92;-1.72;-5.50;3.39
4/2/2012;-3.12;7.68;0.33;-6.01;6.02
4/3/2012;-4.67;-0.75;0.20;-2.93;-1.67
4/4/2012;-7.75;1.42;-2.40;-6.43;-3.48
4/5/2012;-2.02;2.37;-2.86;1.10;-3.39
4/9/2012;-3.53;0.97;-3.13;-0.76;-4.24
4/10/2012;-5.56;1.29;-2.15;-2.61;-5.34
4/11/2012;-5.85;1.44;0.67;-1.86;-5.27
4/12/2012;-2.04;2.22;1.77;1.23;0.80
4/13/2012;-5.92;2.22;2.67;-0.31;0.92
4/16/2012;-6.65;-2.62;1.69;-1.05;-0.38
4/17/2012;0.16;-2.62;3.43;-0.72;1.59
4/18/2012;-0.45;-4.33;5.38;0.11;2.04
4/19/2012;0.29;-4.09;5.89;-1.32;1.64
4/20/2012;2.48;-6.21;7.61;-1.27;1.30
4/23/2012;1.11;3.81;-0.97;-2.11;0.76
4/24/2012;0.04;3.57;-1.76;-2.29;0.76
4/25/2012;-5.84;4.49;-0.89;-2.81;-0.71
4/26/2012;-5.80;11.55;-0.97;-2.29;0.97
4/27/2012;-5.50;0.14;-1.20;-3.75;0.30
4/30/2012;-4.49;2.84;-3.00;-2.03;0.18
5/2/2012;-6.97;4.93;-3.19;1.30;1.03
5/3/2012;-0.14;3.05;-2.73;-1.42;0.40
5/4/2012;-1.51;1.83;-4.84;-5.73;-2.24
5/7/2012;-0.82;1.92;-2.82;-5.24;-2.37
5/8/2012;-0.64;1.62;-4.31;-6.79;-4.89
5/9/2012;-2.12;5.11;-5.62;-0.50;-5.27
5/10/2012;-2.08;6.99;-6.10;-1.69;-5.27
5/11/2012;-0.76;1.34;-1.01;-3.65;-8.38
5/14/2012;-2.87;-0.89;-0.70;-5.87;-1.68
